,ball_pos0,ball_pos1,ball_vel0,ball_vel1,paddle_2,paddle_1
,267.0,178.0,-3.0,-2.0,200.0,200.0
,264.0,176.0,-3.0,-2.0,200.0,200.0
,261.0,174.0,-3.0,-2.0,200.0,200.0
,258.0,172.0,-3.0,-2.0,200.0,200.0
,255.0,170.0,-3.0,-2.0,200.0,200.0
,252.0,168.0,-3.0,-2.0,200.0,200.0
,249.0,166.0,-3.0,-2.0,200.0,200.0
,246.0,164.0,-3.0,-2.0,200.0,200.0
,243.0,162.0,-3.0,-2.0,200.0,200.0
,240.0,160.0,-3.0,-2.0,200.0,200.0
,237.0,158.0,-3.0,-2.0,200.0,200.0
,234.0,156.0,-3.0,-2.0,200.0,200.0
,231.0,154.0,-3.0,-2.0,200.0,200.0
,228.0,152.0,-3.0,-2.0,200.0,200.0
,225.0,150.0,-3.0,-2.0,200.0,200.0
,222.0,148.0,-3.0,-2.0,200.0,200.0
,219.0,146.0,-3.0,-2.0,200.0,200.0
,216.0,144.0,-3.0,-2.0,200.0,200.0
,213.0,142.0,-3.0,-2.0,200.0,200.0
,210.0,140.0,-3.0,-2.0,200.0,200.0
,207.0,138.0,-3.0,-2.0,200.0,200.0
,204.0,136.0,-3.0,-2.0,200.0,200.0
,201.0,134.0,-3.0,-2.0,200.0,200.0
,198.0,132.0,-3.0,-2.0,200.0,200.0
,195.0,130.0,-3.0,-2.0,200.0,200.0
,192.0,128.0,-3.0,-2.0,200.0,200.0
,189.0,126.0,-3.0,-2.0,200.0,200.0
,186.0,124.0,-3.0,-2.0,200.0,200.0
,183.0,122.0,-3.0,-2.0,200.0,200.0
,180.0,120.0,-3.0,-2.0,200.0,200.0
,177.0,118.0,-3.0,-2.0,200.0,192.0
,174.0,116.0,-3.0,-2.0,200.0,192.0
,171.0,114.0,-3.0,-2.0,200.0,184.0
,168.0,112.0,-3.0,-2.0,200.0,184.0
,165.0,110.0,-3.0,-2.0,200.0,184.0
,162.0,108.0,-3.0,-2.0,200.0,176.0
,159.0,106.0,-3.0,-2.0,200.0,176.0
,156.0,104.0,-3.0,-2.0,200.0,176.0
,153.0,102.0,-3.0,-2.0,200.0,168.0
,150.0,100.0,-3.0,-2.0,200.0,168.0
,147.0,98.0,-3.0,-2.0,200.0,168.0
,144.0,96.0,-3.0,-2.0,200.0,160.0
,141.0,94.0,-3.0,-2.0,200.0,160.0
,138.0,92.0,-3.0,-2.0,200.0,152.0
,135.0,90.0,-3.0,-2.0,200.0,152.0
,132.0,88.0,-3.0,-2.0,200.0,144.0
,129.0,86.0,-3.0,-2.0,200.0,136.0
